15
0 1-60; 2-92; 3-66; 4-45; 5-91; 6-65; 7-38; 8-23; 9-44; 10-81; 11-80; 12-91; 13-91; 14-87;
1 0-60; 2-25; 3-38; 4-92; 5-75; 6-3; 7-10; 8-33; 9-18; 10-91; 11-27; 12-91; 13-83; 14-76;
2 0-92; 1-25; 3-80; 4-39; 5-7; 6-55; 7-3; 8-21; 9-76; 10-1; 11-45; 12-62; 13-89; 14-45;
3 0-66; 1-38; 2-80; 4-20; 5-45; 6-7; 7-66; 8-15; 9-71; 10-44; 11-19; 12-30; 13-43; 14-17;
4 0-45; 1-92; 2-39; 3-20; 5-58; 6-6; 7-72; 8-89; 9-31; 10-97; 11-27; 12-7; 13-47; 14-4;
5 0-91; 1-75; 2-7; 3-45; 4-58; 6-1; 7-31; 8-36; 9-92; 10-95; 11-21; 12-16; 13-48; 14-45;
6 0-65; 1-3; 2-55; 3-7; 4-6; 5-1; 7-4; 8-99; 9-50; 10-75; 11-48; 12-21; 13-7; 14-42;
7 0-38; 1-10; 2-3; 3-66; 4-72; 5-31; 6-4; 8-76; 9-8; 10-55; 11-65; 12-38; 13-9; 14-14;
8 0-23; 1-33; 2-21; 3-15; 4-89; 5-36; 6-99; 7-76; 9-57; 10-63; 11-12; 12-44; 13-84; 14-8;
9 0-44; 1-18; 2-76; 3-71; 4-31; 5-92; 6-50; 7-8; 8-57; 10-34; 11-77; 12-36; 13-22; 14-93;
10 0-81; 1-91; 2-1; 3-44; 4-97; 5-95; 6-75; 7-55; 8-63; 9-34; 11-67; 12-67; 13-71; 14-66;
11 0-80; 1-27; 2-45; 3-19; 4-27; 5-21; 6-48; 7-65; 8-12; 9-77; 10-67; 12-43; 13-16; 14-72;
12 0-91; 1-91; 2-62; 3-30; 4-7; 5-16; 6-21; 7-38; 8-44; 9-36; 10-67; 11-43; 13-88; 14-33;
13 0-91; 1-83; 2-89; 3-43; 4-47; 5-48; 6-7; 7-9; 8-84; 9-22; 10-71; 11-16; 12-88; 14-10;
14 0-87; 1-76; 2-45; 3-17; 4-4; 5-45; 6-42; 7-14; 8-8; 9-93; 10-66; 11-72; 12-33; 13-10;
